source,source_url,indicator_id,indicator_label,theme,unit,bad_when,note,country_raw,country_key,country,year,value
World Bank WDI,https://api.worldbank.org/v2/country/ITA;DEU;FRA;ESP;EUU;USA;JPN;GBR;CAN;AUS;AUT;BEL;CHE;DNK;FIN;NLD;NOR;SWE;PRT;GRC;IRL/indicator/SP.POP.GROW?format=json&per_page=20000,SP.POP.GROW,Crescita della popolazione,demografia,% annuo,low,,AUS,AUS,Australia,1995,1.11373422085118
World Bank WDI,https://api.worldbank.org/v2/country/ITA;DEU;FRA;ESP;EUU;USA;JPN;GBR;CAN;AUS;AUT;BEL;CHE;DNK;FIN;NLD;NOR;SWE;PRT;GRC;IRL/indicator/SP.POP.GROW?format=json&per_page=20000,SP.POP.GROW,Crescita della popolazione,demografia,% annuo,low,,AUS,AUS,Australia,1996,1.21385498322201
World Bank WDI,https://api.worldbank.org/v2/country/ITA;DEU;FRA;ESP;EUU;USA;JPN;GBR;CAN;AUS;AUT;BEL;CHE;DNK;FIN;NLD;NOR;SWE;PRT;GRC;IRL/indicator/SP.POP.GROW?format=json&per_page=20000,SP.POP.GROW,Crescita della popolazione,demografia,% annuo,low,,AUS,AUS,Australia,1997,1.0820399195962
World Bank WDI,https://api.worldbank.org/v2/country/ITA;DEU;FRA;ESP;EUU;USA;JPN;GBR;CAN;AUS;AUT;BEL;CHE;DNK;FIN;NLD;NOR;SWE;PRT;GRC;IRL/indicator/SP.POP.GROW?format=json&per_page=20000,SP.POP.GROW,Crescita della popolazione,demografia,% annuo,low,,AUS,AUS,Australia,1998,0.996734717801419
World Bank WDI,https://api.worldbank.org/v2/country/ITA;DEU;FRA;ESP;EUU;USA;JPN;GBR;CAN;AUS;AUT;BEL;CHE;DNK;FIN;NLD;NOR;SWE;PRT;GRC;IRL/indicator/SP.POP.GROW?format=json&per_page=20000,SP.POP.GROW,Crescita della popolazione,demografia,% annuo,low,,AUS,AUS,Australia,1999,1.09397580294231
World Bank WDI,https://api.worldbank.org/v2/country/ITA;DEU;FRA;ESP;EUU;USA;JPN;GBR;CAN;AUS;AUT;BEL;CHE;DNK;FIN;NLD;NOR;SWE;PRT;GRC;IRL/indicator/SP.POP.GROW?format=json&per_page=20000,SP.POP.GROW,Crescita della popolazione,demografia,% annuo,low,,AUS,AUS,Australia,2000,1.14447285147721
World Bank WDI,https://api.worldbank.org/v2/country/ITA;DEU;FRA;ESP;EUU;USA;JPN;GBR;CAN;AUS;AUT;BEL;CHE;DNK;FIN;NLD;NOR;SWE;PRT;GRC;IRL/indicator/SP.POP.GROW?format=json&per_page=20000,SP.POP.GROW,Crescita della popolazione,demografia,% annuo,low,,AUS,AUS,Australia,2001,1.28396809127349
World Bank WDI,https://api.worldbank.org/v2/country/ITA;DEU;FRA;ESP;EUU;USA;JPN;GBR;CAN;AUS;AUT;BEL;CHE;DNK;FIN;NLD;NOR;SWE;PRT;GRC;IRL/indicator/SP.POP.GROW?format=json&per_page=20000,SP.POP.GROW,Crescita della popolazione,demografia,% annuo,low,,AUS,AUS,Australia,2002,1.1375387361946
World Bank WDI,https://api.worldbank.org/v2/country/ITA;DEU;FRA;ESP;EUU;USA;JPN;GBR;CAN;AUS;AUT;BEL;CHE;DNK;FIN;NLD;NOR;SWE;PRT;GRC;IRL/indicator/SP.POP.GROW?format=json&per_page=20000,SP.POP.GROW,Crescita della popolazione,demografia,% annuo,low,,AUS,AUS,Australia,2003,1.15019273319182
World Bank WDI,https://api.worldbank.org/v2/country/ITA;DEU;FRA;ESP;EUU;USA;JPN;GBR;CAN;AUS;AUT;BEL;CHE;DNK;FIN;NLD;NOR;SWE;PRT;GRC;IRL/indicator/SP.POP.GROW?format=json&per_page=20000,SP.POP.GROW,Crescita della popolazione,demografia,% annuo,low,,AUS,AUS,Australia,2004,1.06919812205752
World Bank WDI,https://api.worldbank.org/v2/country/ITA;DEU;FRA;ESP;EUU;USA;JPN;GBR;CAN;AUS;AUT;BEL;CHE;DNK;FIN;NLD;NOR;SWE;PRT;GRC;IRL/indicator/SP.POP.GROW?format=json&per_page=20000,SP.POP.GROW,Crescita della popolazione,demografia,% annuo,low,,AUS,AUS,Australia,2005,1.21729073052406
