trimestre,occupati_migliaia
2004Q1,22005.449
2004Q2,22353.741
2004Q3,22406.459
2004Q4,22439.096
2005Q1,22192.351
2005Q2,22440.838
2005Q3,22308.844
2005Q4,22433.932
2006Q1,22464.139
2006Q2,22893.167
2006Q3,22690.856
2006Q4,22715.067
2007Q1,22440.44
2007Q2,22894.623
2007Q3,23005.944
2007Q4,22972.774
2008Q1,22813.68
2008Q2,23214.992
2008Q3,23154.181
2008Q4,22954.815
2009Q1,22543.973
2009Q2,22705.302
2009Q3,22473.188
2009Q4,22348.892
2010Q1,22222.472
2010Q2,22480.679
2010Q3,22249.145
2010Q4,22381.016
2011Q1,22348.335
2011Q2,22556.359
2011Q3,22400.603
2011Q4,22361.25
2012Q1,22201.271
2012Q2,22459.449
2012Q3,22341.425
2012Q4,22214.463
2013Q1,21778.54
2013Q2,21896.619
2013Q3,21858.448
2013Q4,21872.832
2014Q1,21672.429
2014Q2,21973.874
2014Q3,22020.778
2014Q4,22022.498
2015Q1,21821.645
2015Q2,22158.466
2015Q3,22287.146
2015Q4,22217.697
2016Q1,22093.806
2016Q2,22620.841
2016Q3,22568.597
2016Q4,22513.203
2017Q1,22433.482
2017Q2,22803.068
2017Q3,22892.009
2017Q4,22810.034
2018Q1,22615.029
2018Q2,23210.315
2018Q3,23084.818
2018Q4,22924.761
2019Q1,22775.924
2019Q2,23307.454
2019Q3,23225.104
2019Q4,23129.138
2020Q1,22759.167
2020Q2,22093.246
2020Q3,22335.887
2020Q4,22352.73
2021Q1,21832.285
2021Q2,22575.716
2021Q3,22884.003
2021Q4,22923.818
2022Q1,22737.318
2022Q2,23252.561
2022Q3,23131.068
2022Q4,23276.61
2023Q1,23249.912
2023Q2,23647.388
2023Q3,23612.533
2023Q4,23809.955
2024Q1,23644.005
2024Q2,23975.924
2024Q3,24129.499
2024Q4,23979.628
2025Q1,24075.884
2025Q2,24201.734
2025Q3,24122.997
