key,sector_hours,year,hours_idx_annual_raw
altre attività di servizi,Altre attività di servizi,2015,107.75
altre attività di servizi,Altre attività di servizi,2016,108.55
altre attività di servizi,Altre attività di servizi,2017,111.275
altre attività di servizi,Altre attività di servizi,2018,122.5
altre attività di servizi,Altre attività di servizi,2019,126.9
altre attività di servizi,Altre attività di servizi,2020,98.575
altre attività di servizi,Altre attività di servizi,2021,100.0
altre attività di servizi,Altre attività di servizi,2022,111.025
altre attività di servizi,Altre attività di servizi,2023,115.0
altre attività di servizi,Altre attività di servizi,2024,116.65
altre attività di servizi,Altre attività di servizi,2025,122.0
"attività artistiche, sportive, di intrattenimento e divertimento","Attività artistiche, sportive, di intrattenimento e divertimento",2015,123.45
"attività artistiche, sportive, di intrattenimento e divertimento","Attività artistiche, sportive, di intrattenimento e divertimento",2016,128.625
"attività artistiche, sportive, di intrattenimento e divertimento","Attività artistiche, sportive, di intrattenimento e divertimento",2017,137.3
"attività artistiche, sportive, di intrattenimento e divertimento","Attività artistiche, sportive, di intrattenimento e divertimento",2018,138.95
"attività artistiche, sportive, di intrattenimento e divertimento","Attività artistiche, sportive, di intrattenimento e divertimento",2019,134.025
"attività artistiche, sportive, di intrattenimento e divertimento","Attività artistiche, sportive, di intrattenimento e divertimento",2020,85.525
"attività artistiche, sportive, di intrattenimento e divertimento","Attività artistiche, sportive, di intrattenimento e divertimento",2021,100.125
"attività artistiche, sportive, di intrattenimento e divertimento","Attività artistiche, sportive, di intrattenimento e divertimento",2022,149.55
"attività artistiche, sportive, di intrattenimento e divertimento","Attività artistiche, sportive, di intrattenimento e divertimento",2023,160.075
"attività artistiche, sportive, di intrattenimento e divertimento","Attività artistiche, sportive, di intrattenimento e divertimento",2024,166.15
"attività artistiche, sportive, di intrattenimento e divertimento","Attività artistiche, sportive, di intrattenimento e divertimento",2025,178.0
attività dei servizi di alloggio e di ristorazione,Attività dei servizi di alloggio e di ristorazione,2015,118.425
attività dei servizi di alloggio e di ristorazione,Attività dei servizi di alloggio e di ristorazione,2016,120.42500000000001
attività dei servizi di alloggio e di ristorazione,Attività dei servizi di alloggio e di ristorazione,2017,134.7
attività dei servizi di alloggio e di ristorazione,Attività dei servizi di alloggio e di ristorazione,2018,140.9
attività dei servizi di alloggio e di ristorazione,Attività dei servizi di alloggio e di ristorazione,2019,144.2
attività dei servizi di alloggio e di ristorazione,Attività dei servizi di alloggio e di ristorazione,2020,83.8
attività dei servizi di alloggio e di ristorazione,Attività dei servizi di alloggio e di ristorazione,2021,100.05
attività dei servizi di alloggio e di ristorazione,Attività dei servizi di alloggio e di ristorazione,2022,142.025
attività dei servizi di alloggio e di ristorazione,Attività dei servizi di alloggio e di ristorazione,2023,157.775
attività dei servizi di alloggio e di ristorazione,Attività dei servizi di alloggio e di ristorazione,2024,169.875
attività dei servizi di alloggio e di ristorazione,Attività dei servizi di alloggio e di ristorazione,2025,175.70000000000002
attività economica (ateco 2007),Attività economica (ATECO 2007),2015,
attività economica (ateco 2007),Attività economica (ATECO 2007),2016,
attività economica (ateco 2007),Attività economica (ATECO 2007),2017,
attività economica (ateco 2007),Attività economica (ATECO 2007),2018,
attività economica (ateco 2007),Attività economica (ATECO 2007),2019,
attività economica (ateco 2007),Attività economica (ATECO 2007),2020,
attività economica (ateco 2007),Attività economica (ATECO 2007),2021,
attività economica (ateco 2007),Attività economica (ATECO 2007),2022,
attività economica (ateco 2007),Attività economica (ATECO 2007),2023,
attività economica (ateco 2007),Attività economica (ATECO 2007),2024,
attività economica (ateco 2007),Attività economica (ATECO 2007),2025,
attività finanziarie e assicurative,Attività finanziarie e assicurative,2015,103.025
attività finanziarie e assicurative,Attività finanziarie e assicurative,2016,103.95
attività finanziarie e assicurative,Attività finanziarie e assicurative,2017,103.125
attività finanziarie e assicurative,Attività finanziarie e assicurative,2018,101.425
attività finanziarie e assicurative,Attività finanziarie e assicurative,2019,103.1
attività finanziarie e assicurative,Attività finanziarie e assicurative,2020,97.6
attività finanziarie e assicurative,Attività finanziarie e assicurative,2021,99.2
attività finanziarie e assicurative,Attività finanziarie e assicurative,2022,98.375
attività finanziarie e assicurative,Attività finanziarie e assicurative,2023,99.6
attività finanziarie e assicurative,Attività finanziarie e assicurative,2024,100.75
attività finanziarie e assicurative,Attività finanziarie e assicurative,2025,98.83333333333333
attività manifatturiere,Attività manifatturiere,2015,94.4
attività manifatturiere,Attività manifatturiere,2016,96.375
attività manifatturiere,Attività manifatturiere,2017,99.225
attività manifatturiere,Attività manifatturiere,2018,100.65
attività manifatturiere,Attività manifatturiere,2019,100.3
attività manifatturiere,Attività manifatturiere,2020,89.1
attività manifatturiere,Attività manifatturiere,2021,99.4
attività manifatturiere,Attività manifatturiere,2022,102.925
attività manifatturiere,Attività manifatturiere,2023,105.2
attività manifatturiere,Attività manifatturiere,2024,105.175
attività manifatturiere,Attività manifatturiere,2025,105.53333333333335
"attività professionali, scientifiche e tecniche","Attività professionali, scientifiche e tecniche",2015,89.1
"attività professionali, scientifiche e tecniche","Attività professionali, scientifiche e tecniche",2016,96.675
"attività professionali, scientifiche e tecniche","Attività professionali, scientifiche e tecniche",2017,95.725
"attività professionali, scientifiche e tecniche","Attività professionali, scientifiche e tecniche",2018,100.7
"attività professionali, scientifiche e tecniche","Attività professionali, scientifiche e tecniche",2019,103.875
"attività professionali, scientifiche e tecniche","Attività professionali, scientifiche e tecniche",2020,97.95
"attività professionali, scientifiche e tecniche","Attività professionali, scientifiche e tecniche",2021,100.225
