sector_hours,quarter,hours_idx_q,period,year,key
Attività economica (ATECO 2007),2015-Q1,,2015Q1,2015,attività economica (ateco 2007)
"Industria e servizi (b-s, escluso o)",2015-Q1,92.8,2015Q1,2015,"industria e servizi (b-s, escluso o)"
TOTALE INDUSTRIA E SERVIZI (b-n),2015-Q1,93.0,2015Q1,2015,totale industria e servizi (b-n)
TOTALE INDUSTRIA (b-f),2015-Q1,90.7,2015Q1,2015,totale industria (b-f)
TOTALE INDUSTRIA ESCLUSE COSTRUZIONI (b-e),2015-Q1,92.9,2015Q1,2015,totale industria escluse costruzioni (b-e)
Estrazione di minerali da cave e miniere,2015-Q1,107.6,2015Q1,2015,estrazione di minerali da cave e miniere
Attività manifatturiere,2015-Q1,93.3,2015Q1,2015,attività manifatturiere
"Fornitura di energia elettrica, gas, vapore e aria condizionata",2015-Q1,100.9,2015Q1,2015,"fornitura di energia elettrica, gas, vapore e aria condizionata"
"Fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",2015-Q1,82.4,2015Q1,2015,"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento"
Costruzioni,2015-Q1,82.1,2015Q1,2015,costruzioni
"Servizi (g-s, escluso o)",2015-Q1,94.3,2015Q1,2015,"servizi (g-s, escluso o)"
"Istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (P-S)",2015-Q1,90.0,2015Q1,2015,"istruzione, sanità e assistenza sociale, attività artistiche e altre attività di servizi (p-s)"
TOTALE SERVIZI DI MERCATO (g-n),2015-Q1,95.0,2015Q1,2015,totale servizi di mercato (g-n)
"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",2015-Q1,93.1,2015Q1,2015,"commercio allingrosso e al dettaglio, riparazione di autoveicoli e motocicli"
Trasporto e magazzinaggio,2015-Q1,96.1,2015Q1,2015,trasporto e magazzinaggio
Attività dei servizi di alloggio e di ristorazione,2015-Q1,115.6,2015Q1,2015,attività dei servizi di alloggio e di ristorazione
Servizi di informazione e comunicazione,2015-Q1,82.6,2015Q1,2015,servizi di informazione e comunicazione
Attività finanziarie e assicurative,2015-Q1,102.7,2015Q1,2015,attività finanziarie e assicurative
