sector_va,year,va,key_va,sector_hours,key_h,hours_idx_annual_raw,va_idx,hours_idx,prod_idx,flag_va_gt_hours,flag_prod_gt_100
Industria manifatturiera,2015,261810.0,industria manifatturiera,Attività manifatturiere,attività manifatturiere,94.4,93.65375190931172,94.96981891348088,98.6142260570507,0,0
Industria manifatturiera,2016,267106.9,industria manifatturiera,Attività manifatturiere,attività manifatturiere,96.375,95.548540337899,96.95674044265593,98.54759958067093,0,0
Industria manifatturiera,2017,276905.5,industria manifatturiera,Attività manifatturiere,attività manifatturiere,99.225,99.05366104932553,99.82394366197182,99.22835886422735,0,0
Industria manifatturiera,2018,279750.7,industria manifatturiera,Attività manifatturiere,attività manifatturiere,100.65,100.07143598126997,101.25754527162977,98.82862132675844,0,0
Industria manifatturiera,2019,280183.0,industria manifatturiera,Attività manifatturiere,attività manifatturiere,100.3,100.22607681603715,100.90543259557343,99.32674013473672,0,0
Industria manifatturiera,2020,241771.9,industria manifatturiera,Attività manifatturiere,attività manifatturiere,89.1,86.48579328995424,89.63782696177061,96.48358982066726,0,0
Industria manifatturiera,2021,279551.0,industria manifatturiera,Attività manifatturiere,attività manifatturiere,99.4,100.0,100.0,100.0,0,0
Industria manifatturiera,2022,286958.7,industria manifatturiera,Attività manifatturiere,attività manifatturiere,102.925,102.64985637683284,103.54627766599597,99.13427956140087,0,0
Industria manifatturiera,2023,285387.6,industria manifatturiera,Attività manifatturiere,attività manifatturiere,105.2,102.0878480134215,105.83501006036217,96.45943053739637,0,0
Industria manifatturiera,2024,283456.7,industria manifatturiera,Attività manifatturiere,attività manifatturiere,105.175,101.3971332601207,105.80985915492957,95.82957020257665,0,0
"Fornitura di energia elettrica, gas, vapore e aria condizionata",2015,20425.6,"fornitura di energia elettrica, gas, vapore e aria condizionata","Fornitura di energia elettrica, gas, vapore e aria condizionata","fornitura di energia elettrica, gas, vapore e aria condizionata",101.35,92.75973097062202,101.12247443252681,91.73008422822488,0,0
"Fornitura di energia elettrica, gas, vapore e aria condizionata",2016,20346.8,"fornitura di energia elettrica, gas, vapore e aria condizionata","Fornitura di energia elettrica, gas, vapore e aria condizionata","fornitura di energia elettrica, gas, vapore e aria condizionata",100.975,92.40187285137534,100.74831628835122,91.71555044841885,0,0
"Fornitura di energia elettrica, gas, vapore e aria condizionata",2017,21313.4,"fornitura di energia elettrica, gas, vapore e aria condizionata","Fornitura di energia elettrica, gas, vapore e aria condizionata","fornitura di energia elettrica, gas, vapore e aria condizionata",102.4,96.79153856284542,102.17011723621852,94.73566359825372,0,0
