sector_va,years_available,years_va_gt_hours,share_va_gt_hours,last_year,last_year_check,va_idx_last,hours_idx_last,prod_idx_last,gap_va_minus_hours_last
Trasporti e magazzinaggio,10,7,0.7,2024,2024,106.98516585129127,109.97250687328167,97.28355649341282,-2.987341021990403
Costruzioni,10,6,0.6,2024,2024,131.3318304644462,122.83858070964519,106.91415490616632,8.493249754801013
"Attività artistiche, di intrattenimento e divertimento",10,5,0.5,2024,2024,144.3071179942491,165.94257178526843,86.96208359418712,-21.63545379101933
"Fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento",10,5,0.5,2024,2024,94.73521198273673,105.48014077425842,89.8133158406403,-10.744928791521687
Istruzione,10,5,0.5,2024,2024,96.96929770541952,130.3272545590807,74.4044659219464,-33.35795685366118
Sanità e assistenza sociale,10,5,0.5,2024,2024,101.19153283123967,110.72231942014496,91.3921722026614,-9.530786588905286
Altre attività di servizi,10,4,0.4,2024,2024,115.07333357730421,116.65,98.64837854891059,-1.5766664226957943
Attività finanziarie e assicurative,10,2,0.2,2024,2024,95.02193563729779,101.5625,93.56005970441629,-6.540564362702213
"Attività professionali, scientifiche e tecniche",10,2,0.2,2024,2024,122.367803763543,126.04140683462211,97.08539981952184,-3.673603071079114
"Fornitura di energia elettrica, gas, vapore e aria condizionata",10,2,0.2,2024,2024,82.52171899054945,108.55574956348217,76.01782431827039,-26.03403057293272
Servizi di alloggio e di ristorazione,10,2,0.2,2024,2024,135.75048584384407,169.79010494752623,79.9519417729307,-34.039619103682156
Servizi di informazione e comunicazione,10,1,0.1,2024,2024,108.67826852475018,110.74731317170706,98.13174280467739,-2.0690446469568826
Attività amministrative e di servizi di supporto,10,0,0.0,2024,2024,109.22649273045346,120.35,90.75736828454795,-11.123507269546536
"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",10,0,0.0,2024,2024,100.24871283260545,118.01960291530536,84.94242511944996,-17.770890082699907
Industria manifatturiera,10,0,0.0,2024,2024,101.3971332601207,105.80985915492957,95.82957020257665,-4.412725894808872
