sector_va,year,va,key
Branca di attività economica (ATECO 2007),2015,,branca di attività economica (ateco 2007)
Totale attività economiche,2015,1554159.8,totale attività economiche
Attività economiche non market,2015,248545.4,attività economiche non market
"Agricoltura, silvicoltura e pesca",2015,34815.2,"agricoltura, silvicoltura e pesca"
"Produzioni vegetali e animali, caccia e servizi connessi",2015,31514.9,"produzioni vegetali e animali, caccia e servizi connessi"
Silvicoltura e utilizzo di aree forestali,2015,2210.7,silvicoltura e utilizzo di aree forestali
Pesca e acquicoltura,2015,1118.1,pesca e acquicoltura
"Attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento, costruzioni",2015,365943.3,"attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento, costruzioni"
"Attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento",2015,299480.2,"attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento"
Industria estrattiva,2015,1928.0,industria estrattiva
Industria manifatturiera,2015,261810.0,industria manifatturiera
"Industrie alimentari, delle bevande e del tabacco",2015,29258.0,"industrie alimentari, delle bevande e del tabacco"
"Industrie tessili, confezione di articoli di abbigliamento e di articoli in pelle e simili",2015,26993.9,"industrie tessili, confezione di articoli di abbigliamento e di articoli in pelle e simili"
"Industria del legno, della carta, editoria",2015,15196.0,"industria del legno, della carta, editoria"
"Industria del legno e dei prodotti in legno e sughero, esclusi i mobili, fabbricazione di articoli in paglia e materiali da intreccio",2015,5088.4,"industria del legno e dei prodotti in legno e sughero, esclusi i mobili, fabbricazione di articoli in paglia e materiali da intreccio"
Fabbricazione di carta e di prodotti di carta,2015,5854.3,fabbricazione di carta e di prodotti di carta
Stampa e riproduzione su supporti registrati,2015,4257.1,stampa e riproduzione su supporti registrati
Fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio,2015,2211.8,fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio
Fabbricazione di prodotti chimici,2015,12298.4,fabbricazione di prodotti chimici
Fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici,2015,9665.4,fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici
Fabbricazione di articoli in gomma e materie plastiche e altri prodotti della lavorazione di minerali non metalliferi,2015,22149.7,fabbricazione di articoli in gomma e materie plastiche e altri prodotti della lavorazione di minerali non metalliferi
Fabbricazione di articoli in gomma e materie plastiche,2015,12104.4,fabbricazione di articoli in gomma e materie plastiche
Fabbricazione di altri prodotti della lavorazione di minerali non metalliferi,2015,10086.8,fabbricazione di altri prodotti della lavorazione di minerali non metalliferi
